Id,Duration,Earliest Start Time,Latest Start Time,Earliest End Time,Latest End Time,Predecessors
1,26,0,0,26,26,
4,16,26,26,42,42,1
5,16,42,42,58,58,4
6,8,58,58,66,66,5
2,8,58,58,66,66,5
9,9,66,66,75,75,2;6
8,9,75,75,84,84,9
11,3,84,84,87,87,8
13,2,87,87,89,89,11
16,16,89,89,105,105,13
17,16,105,105,121,121,16
18,8,121,121,129,129,17
19,8,129,129,137,137,18
20,3,137,137,140,140,19
22,2,140,140,142,142,20
26,16,142,142,158,158,22
25,16,142,142,158,158,22
24,16,142,142,158,158,22
23,16,142,142,158,158,22
27,8,158,158,166,166,23;24;25;26
28,3,166,166,169,169,27
30,2,169,169,171,171,28
34,16,171,171,187,187,30
33,16,171,171,187,187,30
32,16,171,171,187,187,30
31,16,171,171,187,187,30
35,8,187,187,195,195,31;32;33;34
36,2,195,195,197,197,35
38,2,197,197,199,199,36
42,16,199,199,215,215,38
41,16,199,199,215,215,38
40,16,199,199,215,215,38
39,16,199,199,215,215,38
43,10,215,215,225,225,39;40;41;42
44,3,225,225,228,228,43
46,3,228,228,231,231,44
50,16,231,231,247,247,46
49,16,231,231,247,247,46
48,16,231,231,247,247,46
47,16,231,231,247,247,46
51,10,247,247,257,257,47;48;49;50
52,3,257,257,260,260,51
54,3,260,260,263,263,52
58,16,263,263,279,279,54
57,16,263,263,279,279,54
56,16,263,263,279,279,54
55,16,263,263,279,279,54
59,10,279,279,289,289,55;56;57;58
60,3,289,289,292,292,59
62,2,292,292,294,294,60
66,16,294,294,310,310,62
65,16,294,294,310,310,62
64,16,294,294,310,310,62
63,16,294,294,310,310,62
67,8,310,310,318,318,63;64;65;66
68,3,318,318,321,321,67
70,2,321,321,323,323,68
71,28,323,323,351,351,70
72,28,351,351,379,379,71
73,16,379,379,395,395,72
